"ID";"SculpName";"Photo";"Author";"ManufactYear";"Material";"Description";"LocationPlace";"Longitude_WGS84";"Latitude_WGS84";"global_id";"geodata_center";"geoarea";
"39";"Ленин В.И. стела";"5212ce5e-81ce-405b-9c0a-1bf9da9aa316";"Скульптор Согоян Фридрих Мкртичевич";"1988";"Гранит";"Гранитная композиция, напоминающая борозду.";"ГАУК г. Москвы «ПКиО «Дубки», Гончаровский парк, южная часть";"37.588000";"55.812922";"881824169";"";"";
"40";"«Тимирязевцам павшим в Великой Отечественной войне»";"bf91dd09-53bf-41e5-bb8c-e7db9c9f9bba";"Скульптор Животов Анатолий Павлович";"2000";"Бетон";"Памятник был открыт в память о погибших на фронте жителях Тимирязевского района города Москвы";"ГАУК г. Москвы «ПКиО «Дубки», парк «Дубки», центральный вход";"37.566963";"55.818977";"881824187";"";"";
"42";"Памятник «В.И. Баженов и М.Ф. Казаков»";"89d480ed-ed14-4f7d-a373-20270c601d6f";"Скульптор Баранов Леонид Михайлович";"2007";"Скульптурная композиция - бронза, постамент - гранит";"Скульптурная композиция, представляющая собой две стоящие мужские фигуры в париках, кафтанах, жилетах и панталонах, изображающие собой архитекторов В.И.Баженова и М.Ф.Казакова. На постаменте между ними - фрагмент макета одной из башен Большого дворца в разрезе. Высота - три метра.";"ГБУК г. Москвы «ГМЗ «Царицыно», газон западного фасада Хлебного дома, Кухонный корпус";"37.684057";"55.615799";"881824203";"";"";
"43";"«Памятник Дмитрию Кантемиру»";"464871f0-895c-465d-8629-ff53f83c5b3e";"Скульптор Константинов Константин Константинович, архитектор Бухаев Вячеслав Борисович";"2014";"Скульптура - бронза, постамент - гранит";"Скульптура, представляющая собой стоящую мужскую фигуру в парике, кафтане, жилете и панталонах, изображающая молдавского господаря, одного из владельцев усадьбы Черная Грязь (ныне - Царицыно) Д. Кантемира. Высота - четыре метра девяносто пятьдесят сантиметров.";"ГБУК г. Москвы «ГМЗ «Царицыно», улица Дольская, рядом с КПП";"37.686095";"55.619466";"881824210";"";"";
"44";"«Памятник погибшим революционерам» («Памятник «Борцам за Советы»)";"afbf6a5c-9f1b-4230-9cec-db14f3a456d0";"Архитектор Белов С Г";"1977";"Стела, постамент - гранит, декоративный элемент - медь";"Стела, облицованная гранитными плитами, с металлическими консолями, поддерживающими декоративный элемент в форме стилизованного знамени из меди. В нижней части стелы выгравированы фамилии погибших в боях за становление Советсткой власти. Высота - 9,6 м.";"ГБУК г. Москвы «ГМЗ «Царицыно», склон Среднего Царицынского пруда рядом с Новоцарицынским шоссе";"37.681632";"55.620486";"881824212";"";"";
"45";"Парковая скульптура «Минерва»";"bb5285b1-fe41-48bf-abf1-ab05c8ab92a6";"Скульптор Бурганов Александр Николаевич";"2007";"Композитный материал";"Скульптура, представляющая собой стоящую женскую фигуру древнеримской богини мудрости в шлеме, в длинном хитоне и гиматие с лавровым венком в правой руке и со щитом с изображением головы медузы Горгоны в левой руке. У её ног сидит сова - символ мудрости.";"ГБУК г. Москвы «ГМЗ «Царицыно», Центральная часть исторического пейзажного парка";"37.685314";"55.611710";"881824224";"";"";
"46";"Парковая скульптура «Диана»";"80951f2f-b5b7-405a-ad87-be87f79dab7e";"Скульптор Бурганов Александр Николаевич";"2007";"Композитный материал";"Скульптура, представляющая собой стоящую женскую фигуру древнеримской богини охоты в коротком хитоне. За спиной богини колчан со стрелами. У её ног сидит гончая борзая.";"ГБУК г. Москвы «ГМЗ «Царицыно», Центральная часть исторического пейзажного парка";"37.683722";"55.611872";"881824227";"";"";
"47";"Парковая скульптура «Флора»";"32ad5fa3-fd0f-4ddf-890e-13636df6e7aa";"Скульптор Бурганов Александр Николаевич";"2007";"Композитный материал";"Скульптура, представляющая собой стоящую женскую фигуру древнеримской богини весны в длинном хитоне без рукавов, украшенном цветами.";"ГБУК г. Москвы «ГМЗ «Царицыно», рядом с беседкой «Храм Цереры»";"37.686434";"55.608820";"881824230";"";"";
"48";"Парковая скульптура «Дриада»";"72c90e41-1a2b-4602-9725-487985a373b1";"Скульптор Бурганов Александр Николаевич";"2007";"Композитный материал";"Скульптура, представляющая собой стоящую женскую фигуру лесной нимфы в длинном хитоне и гиматие с арфой в левой руке.";"ГБУК г. Москвы «ГМЗ «Царицыно», к югу от беседки «Нерастанкино»";"37.687717";"55.611021";"881824231";"";"";
"49";"Парковая скульптура «Церера»";"b21b924a-687e-41dc-8153-3ac31d62ceb3";"Скульптор Бурганов Александр Николаевич";"2007";"Композитный материал";"Скульптура, представляющая собой стоящую женскую фигуру древнеримской богини плодородия в длинной платье с длинными рукавами со снопом колосьев и серпом в правой руке.";"ГБУК г. Москвы «ГМЗ «Царицыно», в центре беседки «Храм Цереры»";"37.687336";"55.608899";"881824272";"";"";
"50";"Серия скульптур «Материнство»";"066ab452-cd05-4496-8e3a-c664f52685b5";"Скульптор Мачков Борис Алексеевич";"";"Камень";"Серия скульптур «Материнство»";"ГАУК г. Москвы «ПКиО «Сокольники», Песочная аллея";"37.666432";"55.795050";"881824346";"";"";
"51";"А.С. Пушкин";"a481d7d0-630d-4aac-94d4-eb4f0ac7d69e";"Скульптор Мачков Борис Алексеевич";"";"Камень";"Памятник А.С. Пушкину";"ГАУК г. Москвы «ПКиО «Сокольники», Песочная аллея";"37.670572";"55.794019";"881824380";"";"";
"52";"В.И. Ленин";"5de39613-5adc-4e91-8c8a-c5f594847843";"Скульптор Саркисов Н Е, архитектор Котырев А Н";"1960";"Гранит";"Памятник-пилон В.И. Ленину. На нем укреплена беломраморная доска с барельефным портретом вождя. Рядом надпись: «Владимир Ильич Ленин выступал на территории парка «Сокольники» на митингах трудящихся Сокольнического района 21 июня и 9 августа 1918 года».";"ГАУК г. Москвы «ПКиО «Сокольники», проезд Сокольнического Круга, Фонтанная площадь";"37.676343";"55.795122";"881824467";"";"";
"53";"«Фея Главбух»";"c5628c62-4116-42ec-8fd4-1a38e5774afa";"Скульптор Плохоцкий Антон Михайлович";"2014";"Металл";"Основанием конструкции служит пирамида, состоящая из кубов с надписями «прибыль», «дебет», «кредит», «сальдо», внутри которой размещена позолоченная фигурка феи.";"ГАУК г. Москвы «ПКиО «Сокольники», Майский просек, Денежный сад";"37.679509";"55.796334";"881824496";"";"";
"54";"Серия скульптур «Материнство»";"99c17590-b354-4f95-862f-7556a617f009";"Скульптор Мачков Борис Алексеевич";"1976";"Белый бетон";"Серия скульптур «Материнство»";"ГАУК г. Москвы «ПКиО «Сокольники», Митьковский просек, Сиреневый сад";"37.676850";"55.800794";"881824508";"";"";
"55";"«Монумент в честь закладки Сиреневого сада»";"78bcfbca-5c7c-4bfb-a3f5-7a35ec342566";"Неизвестный автор";"1958";"Гранит";"Постамент из красного гранита с текстом о закладке в честь 40-летия ВЛКСМ.";"ГАУК г. Москвы «ПКиО «Сокольники», Митьковский просек, Сиреневый сад";"37.676217";"55.800716";"881824547";"";"";
"56";"«Мойдодыр»";"82898898-c439-4c3b-bc3a-56e9c266f3c7";"Скульпторы Марчел Коробер, Фомина Ольга";"2012";"Бронза";"Бронзовый памятник Мойдодыру - герою сказки К.Чуковского.";"ГАУК г. Москвы «ПКиО «Сокольники», Песочная аллея, рядом с детским городком и мини-зоопарком";"37.665977";"55.794994";"881824565";"";"";
"57";"«Русское поле»";"9ee7f5b2-8f54-4710-946b-b2fe86d31b0c";"Скульптор Кравченко Валерий Владимирович";"1997";"Известняк";"Двухфигурная композиция, изображающая движущегося всадника на лошади. Голова всадника обращена назад.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881839302";"";"";
"58";"«Но время время Александр Сергеевич»";"71ce594e-664d-45b2-9fff-1735af6caff1";"Скульптор Буйначев Владимир Петрович";"1999";"Бронза. Литье.";"Пушкин во весь рост, в согнутой правой руке держит розу. Авторская подпись «Буначев. 99».";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881844551";"";"";
"59";"«Фонтан любви фонтан живой»";"bfed65c0-4014-4a1f-a9df-3ea37248f8f3";"Скульптор Буйначев Владимир Петрович";"1999";"Гранит";"На гранитной поверхности фонтана – накидка, перчатки, цилиндр поэта. Авторская подпись «Буначев. 99».";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881848132";"";"";
"60";"«Дуэль»";"627fa001-0935-46ed-8d9b-5629f3fdc51a";"Скульптор Киевский Олег Олегович";"1999";"Лабрадорит темно-серый";"Фигуры дуэлянтов в плащах и цилиндрах с пистолетами в вытянутых руках. В нижней части справа - авторская подпись «ОК. 99».";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881855300";"";"";
"61";"«Являться муза стала мне»";"81004fc7-2c83-4378-9038-00210cc7141a";"Скульптор Карелиц Ольга Александровна";"1999";"Гранит розовый";"Скульптура изображает крылатую музу в длинном платье, стоящую на возвышении с чуть наклоненной головой и прижимающую к сердцу руку.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881859567";"";"";
"62";"«Победитель»";"57cd5f6f-a443-4956-89a4-ccf9a3592cf7";"Скульптор Буйначев Владимир Петрович";"1998";"Гранит красный и серый";"Стоящий на возвышении юноша держит в поднятых руках лавровый венок. Голова повернута влево.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881863708";"";"";
"63";"«Крылатый ангел вдохновения» («Муза»)";"c04dd07f-efb9-458a-beaf-cfe833668d4b";"Скульптор Корнеев Виктор Иванович";"1999";"Дерево. Известняк.";"На винтообразном пьедестале, на облаке из камня сидит обнаженная женщина с крыльями и дудочкой в правой руке.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881867022";"";"";
"64";"«Мечта поэта»";"d88101c6-b14d-4356-abc3-983291676563";"Скульптор Тишин Владимир Викторович";"1999";"Известняк";"Скульптура изображает стоящую женщину в длинном платье – декольтированном, вечернем с кринолином – слегка повернувшую голову налево, в опущенных руках держит веер.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881870532";"";"";
"65";"«Ангел - хранитель московский»";"0d4860a8-9653-4a53-9a1f-54e2d0986bde";"Скульптор Красношлыков Геннадий Иванович";"1997";"Известняк";"Скульптура изображает спящего ангела со сложенными за спиной крыльями.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881874932";"";"";
"66";"«Москва-река»";"83d526ec-ad15-47e0-be54-6bdca94a24cd";"Скульптор Рзаев Фахраддин Рзахан оглы";"1997";"Известняк";"Скульптура представляет собой фигуру полулежащей обнаженной женщины с длинными развевающимися волосами в виде воды. Между ступнями ног авторская подпись «R F 97».";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881880215";"";"";
"67";"«Патриарх Московский Тихон»";"54eef22e-de88-4857-8d52-372d5e7e46e3";"Скульптор Смирнов Александр Александрович";"1997";"Известняк, металл";"Скульптура изображает патриарха в монашеской одежде, расписанной крестами, на голове кукуль с бронзовым крестом. Фигура вместе с постаментом образует форму колокола. В верхней части постамента имеется подпись «Свет Тихрон Патрiарх Москивска руси Святителю отче наш Тихоне моли Бога о нас».";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881890235";"";"";
"68";"«Василий Блаженный»";"a0280cb6-6a23-4dbe-8cfe-1812a1d1205d";"Скульптор Смирнов Александр Александрович";"1997";"Известняк, металл";"Фигура сидящего на колене обнажённого юродивого с веригами, на шее белокаменный крест, длинная металлическая цепь висит на шее. Руки заломлены назад и держат вериги.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881893243";"";"";
"69";"«Прикосновение»";"9c7a3588-9d0d-4711-a709-37e9c2d5615c";"Скульптур Королев Виктор Николаевич";"1997";"Известняк";"Скульптура представляет собой двухфигурную композицию, изображающую мужчину и женщину, нежно обнимающих друг друга.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881897004";"";"";
"70";"«Символический камень»";"0f290a5c-3215-47d4-bb9e-9d91a74d260d";"Скульптуры Буйначев Владимир Петрович, Смирнов Александр Алексеевич, Рзаев Фахраддин Рзахан оглы";"1997";"Известняк";"Установлен в честь 1 московского симпозиума из камня. Представляет собой частично обработанный блок известняка неправильной формы, на лицевой поверхности располагаются авторские росписи участников – 12 подписей.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881897544";"";"";
"71";"«Прииде брате ко мне в Москов»";"1dff1fd5-ca88-4983-9701-7a479c2175b6";"Скульптор Буйначев Владимир Петрович";"1997";"Известняк";"Двусторонний белокаменный барельеф в форме неправильного параллелепипеда на блоке, на левой стороне барельефа изображен работающий строитель, возводящий город; на оборотной стороне Георгий Победоносец. Под изображением строителя подпись «Прииде, брате, ко мне в Московъ».";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881897585";"";"";
"72";"«Царь-Пушка»";"0c00584d-7d00-42a0-83ae-3c289dc6e249";"Скульптор Дронов Михаил Викторович";"1997";"Известняк";"Скульптура состоит из двух частей, пушка и ядро, установленные в едином бетонном основании серого цвета.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881897601";"";"";
"73";"«Возрождение» («Единорог»)";"9f8a1fbf-721e-4567-b03b-0e7543de895d";"Скульптор Глызина-Поливанова Галина Юрьевна";"1997";"Известняк, медь";"Скульптура изображает встающего на ноги единорога. На голове – винтообразный рог, выполненный из блестящей бронзы.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881897627";"";"";
"74";"«Крестный путь»";"f438506c-b28a-4833-81f7-57c98c321b7c";"Скульптор Григорьев Алексей Станиславович";"2000";"Известняк, металл";"Иисус на Голгофе, что условно подчеркивается изображением крыла в правой части спины человеческой фигуры. Фигура согнута, руки с трудом удерживают крест, колени подогнуты.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881897709";"";"";
"75";"«Метание ядра»";"57bb2ab1-ae2c-42dd-858e-86cf8e69b6de";"Скульптор Малютов Сергей Константинович";"1998";"Известняк";"Обнаженная спортсменка, приготовившаяся к метанию ядра. Левая нога отставлена в сторону и согнута в колене, руки подняты к плечам, в правой руке - ядро. Голова чуть откинута назад и вправо. Под левой ногой - авторская подпись.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881897711";"";"";
"76";"«Посвящение защитникам Москвы»";"eeb3df36-919d-408a-b1d4-c3c46ccd0d74";"Скульптор Корнеев Виктор Иванович";"1997";"Известняк. Металл";"Изображение обнаженного торса сидящего воина, слегка наклонившегося и опирающегося на правую руку. Левая рука согнута и касается груди. На торсе имеются декоративные бронзовые накладки (три спереди и три сзади).";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881897712";"";"";
"77";"«Ангел-хранитель»";"05a64ab9-3b34-4a9e-a7fa-88d0f0f1ecc6";"Скульптор Смирнов Александр Александрович";"1998";"Дерево (дуб). Известняк.";"Известняк, дерево (дуб), окраска (синий цвет). Крылатая фигура ангела-хранителя с вытянутой вперед правой рукой, стоящего на островах облака. На крыльях, рукавах и подоле геометрический рисунок, персонаж окрашен в синий цвет.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881897728";"";"";
"78";"«Игры с быком» («Танцующая на быке»)";"706533f4-acc5-496e-b095-c5537bfaa9a3";"Скульптор Салават Щербаков";"1998";"Известняк. Дерево.";"Танцующая на быке девушка с развевающимися волосами в длинном платье, выгнувшись назад в талии, крепко обхватив руками быка и чуть касаясь головой его спины. Девушка застыла в сложном пируэте.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881897731";"";"";
"79";"«Борец Сумо»";"ccaae3de-9520-48ab-a3ac-da7eae3ca27c";"Скульптор Левинская Мария Олеговна";"1998";"Известняк";"Спортсмен в традиционной позе и одежде борца сумо, приготовившегося к бою.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881897734";"";"";
"80";"«Борцы»";"9c86b9d8-4ba1-4c86-9b0c-cb355dc367e6";"Скульптор Чумаков Всеволод Александрович";"1998";"Известняк";"Скульптура изображает двух мужчин в один из моментов борьбы армрестлинг. На ягодице одного борцов подпись автора: «Чв 98».";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881897748";"";"";
"81";"«Гимнастка»";"09ae204d-4d5b-4183-860b-e5f96ba0ed8e";"Скульптор Шпичинецкая Алина Григорьевна";"1998";"Известняк";"Скульптура изображает сидящую на коленях девушку-гимнастку. Левой рукой опирается на мяч.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881897749";"";"";
"82";"«Гиревик»";"df344a93-008e-4055-8a2e-6f0c1ba937ae";"Скульптор Феклин Никита Николаевич";"1998";"Известняк";"Скульптурное изображение стоящего обнаженного спортсмена, собирающегося поднять гирю. Правая рука держит гирю, голова повернута влево.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881898481";"";"";
"83";"«Запасной игрок»";"51d0dcff-1fbe-4bab-b46f-9990f7493a19";"Скульптор Архангельский Александр Анатольевич";"1998";"Известняк";"Сидящий на земле мальчик с подогнутой правой ногой, прижимающий лежащий рядом гандбольный мяч. Голова наклонена чуть вперед.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881898484";"";"";
"84";"«Вратарь»";"63d5b17a-06b4-4e5e-a15f-0c112d874519";"Скульптор Осиновский Юрий Леонидович";"1998";"Известняк";"Скульптурное изображение мальчика-вратаря в момент броска за мячом. Он присел, согнулся почти до земли, стараясь поймать мяч. На плинте - две авторские подписи.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881898489";"";"";
"85";"«Преодоление»";"43355296-a293-4179-a8c9-84dd08e35e53";"Скульптор Шпичинецкий Григорий Ефимович";"1998";"Известняк";"Скульптура изображает атлетически сложенного мужчину, поднимающегося с земли. У правой стопы - авторская подпись.";"ЦПКиО им. М. Горького, Парк искусств Музеон";"37.606738";"55.733285";"881898491";"";"";
"86";"«Девушка с мячом»";"b8a79093-1840-4eb5-91f5-7f9bebead6a9";"Скульптор Новиков";"1998";"Известняк";"Скульптура изображает присевшую на правое колено девушку с мячом в руках.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"881898492";"";"";
"87";"«Русалка»";"39ef9c16-ea54-44c3-88a9-454b89b553cb";"Скульптор Лебедева";"1999";"Известняк";"Скульптура изображает лежащую на боку русалку.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"881898494";"";"";
"88";"«Адам и Ева»";"903a0ff1-36d6-4beb-9df4-ccd7fc5234c9";"Скульптор Маргаритова";"1998";"Известняк";"Скульптура изображает обнаженных Адама и Еву, стоящих под яблоней. Адам левой рукой обнимает прижавшуюся к его плечу Еву.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"881898496";"";"";
"89";"«Пирамида»";"4db127b8-8170-41f5-acf9-7f9cc8d13d0c";"Скульптор Повзнер";"1998";"Известняк";"Обобщенные изображения гимнастов, выполняющих упражнение – пирамиду.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"881898500";"";"";
"90";"«Лучница»";"db4f2755-35e0-4fdd-be0a-5c7bd64d868c";"Скульптор Левинская";"1998";"Известняк, металл";"Скульптура изображает обнаженную девушку, стоящую на коленях с луком в руках и колчаном со стрелами за спиной. Волосы забраны в пучок. У левой ноги авторская подпись.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"881898503";"";"";
"91";"«Памятник Сталину Иосифу Виссарионовичу»";"4a927e80-571c-41f8-b631-dc3ac764b6e4";"Скульптор Меркуров";"1938";"Гранит розовый";"Однофигурная композиция в полный рост, одет в длинную шинель, поле которой широкими складками падает вниз, левая пола откинута, из-под шинели виден френч, брюки заправлены в сапоги. Голова непокрыта, немного повернута вправо. Правая рука заложена за борт френча, в левой зажаты листки бумаги.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"881898509";"";"";
"92";"«Памятник Дзержинскому Феликсу Эдмундовичу»";"9df04c8b-a452-43e1-b94f-0bd92eee6739";"Скульптор Евгений Вучетич";"1958";"Бронза, литье.";"Однофигурная скульптурная композиция в рост, повернутый немного вправо. Одет в длинную до пят шинель с расстегнутым воротом, из под которого солдатская (шинель) гимнастерка. Правая рука согнута в локте, в левой руке фуражка. Высокий постамент из медного сплава цилиндрической формы. На постаменте подпись накладными буквами из медного сплава.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"881898514";"";"";
